query_id,formal_ndcg@10,formal_recall@100,formal_mrr@10,informal_ndcg@10,informal_recall@100,informal_mrr@10,normalized_ndcg@10,normalized_recall@100,normalized_mrr@10,formal_vs_informal,formal_vs_normalized
6052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8954,0.9649
6085,0.1312,0.8,0.2,0.6943,0.8,1.0,0.7191,0.8,1.0,0.8596,0.8831
6087,0.7757,0.75,1.0,0.1232,0.25,0.125,0.7757,0.75,1.0,0.8989,0.9533
613,0.0,0.3333,0.0,0.0,0.1667,0.0,0.0,0.1667,0.0,0.9596,0.9713
662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9803
679,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8502,0.8423
706,0.6131,1.0,1.0,0.6131,1.0,1.0,0.6131,1.0,1.0,0.9621,0.9642
713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9487,0.9558
736,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.9619,0.9676
746,0.2641,1.0,0.25,0.3869,1.0,0.5,0.3066,1.0,0.3333,0.9241,0.9829
78,0.956,1.0,1.0,0.0,0.4,0.0,0.0,0.4,0.0,0.8508,0.8504
79,0.0,0.2,0.0,0.0663,0.2,0.1111,0.0636,0.2,0.1,0.9849,0.9854
830,1.0,1.0,1.0,0.9197,1.0,1.0,0.9197,1.0,1.0,0.9803,0.9821
849,0.8772,1.0,1.0,0.3869,1.0,0.5,0.8175,1.0,1.0,0.8823,0.9125
919,0.3026,0.6667,1.0,0.3026,0.6667,1.0,0.3026,0.6667,1.0,0.9808,0.9832
